player,fantasy_team
Juan Soto,Devin (7)
Kade Anderson,Devin (7)
Lane Thomas,Devin (7)
Luis Medina,Devin (7)
Luis Rengifo,Devin (7)
Luis Robert Jr.,Devin (7)
Maikel Garcia,Devin (7)
Max Anderson,Devin (7)
Max Meyer,Devin (7)
Michael Petersen,Devin (7)
Miguel Vargas,Devin (7)
Mike Sirota,Devin (7)
Moises Ballesteros,Devin (7)
Nick Kurtz,Devin (7)
Owen Murphy,Devin (7)
Roman Anthony,Devin (7)
Ryan Jeffers,Devin (7)
Steele Hall,Devin (7)
Tate Southisene,Devin (7)
Tommy White,Devin (7)
Travis Bazzana,Devin (7)
Triston Casas,Devin (7)
Victor Caratini,Devin (7)
Wilyer Abreu,Devin (7)
AJ Smith-Shawver,Jeremy (3)
Aaron Ashby,Jeremy (3)
Addison Barger,Jeremy (3)
Adley Rutschman,Jeremy (3)
Andrew Morris,Jeremy (3)
Anthony Eyanson,Jeremy (3)
Bradgley Rodriguez,Jeremy (3)
Caleb Durbin,Jeremy (3)
Cam Schlittler,Jeremy (3)
Carlos Rodon,Jeremy (3)
Chase Burns,Jeremy (3)
Chase Silseth,Jeremy (3)
Christian Zazueta,Jeremy (3)
Devin Fitz-Gerald,Jeremy (3)
Emerson Hancock,Jeremy (3)
Erik Sabrowski,Jeremy (3)
Ethan Conrad,Jeremy (3)
Fernando Tatis Jr.,Jeremy (3)
Freddy Peralta,Jeremy (3)
Garrett Whitlock,Jeremy (3)
Gavin Williams,Jeremy (3)
Gregory Soto,Jeremy (3)
Hayden Wesneski,Jeremy (3)
Hunter Goodman,Jeremy (3)
Ian Happ,Jeremy (3)
Jackson Holliday,Jeremy (3)
Jake Latz,Jeremy (3)
Joe Ryan,Jeremy (3)
Jordan Westburg,Jeremy (3)
Josiah Hartshorn,Jeremy (3)
Josiah Ragsdale,Jeremy (3)
Josue De Paula,Jeremy (3)
Justin Gonzales,Jeremy (3)
Justin Martinez,Jeremy (3)
Ketel Marte,Jeremy (3)
Kyle Tucker,Jeremy (3)
Louis Varland,Jeremy (3)
Luis Lara,Jeremy (3)
MacKenzie Gore,Jeremy (3)
Matt McLain,Jeremy (3)
Michael King,Jeremy (3)
Mick Abel,Jeremy (3)
Nick Lodolo,Jeremy (3)
Nick Pivetta,Jeremy (3)
Orion Kerkering,Jeremy (3)
Ozzie Albies,Jeremy (3)
Parker Messick,Jeremy (3)
Paul Skenes,Jeremy (3)
Randy Arozarena,Jeremy (3)
River Ryan,Jeremy (3)
Ronald Acuna Jr.,Jeremy (3)
Ryan Sloan,Jeremy (3)
Sam Antonacci,Jeremy (3)
Shane Bieber,Jeremy (3)
Shane McClanahan,Jeremy (3)
Shota Imanaga,Jeremy (3)
T.J. Rumfield,Jeremy (3)
Travis Sykora,Jeremy (3)
Trea Turner,Jeremy (3)
Tyler Soderstrom,Jeremy (3)
Tyler Stephenson,Jeremy (3)
Will Smith,Jeremy (3)
Willson Contreras,Jeremy (3)
Willy Adames,Jeremy (3)
Wyatt Langford,Jeremy (3)
Yordan Alvarez,Jeremy (3)
Zac Veen,Jeremy (3)
A.J. Ewing,Jonathan (4)
Abner Uribe,Jonathan (4)
Agustin Ramirez,Jonathan (4)
Andres Munoz,Jonathan (4)
Anthony Seigler,Jonathan (4)
Aroldis Chapman,Jonathan (4)
Austin Riley,Jonathan (4)
Ben Rice,Jonathan (4)
Blake Snell,Jonathan (4)
Brandon Pfaadt,Jonathan (4)
Brandon Woodruff,Jonathan (4)
Brandon Young,Jonathan (4)
Braxton Ashcraft,Jonathan (4)
Brent Rooker,Jonathan (4)
Briggs McKenzie,Jonathan (4)
Bryan Woo,Jonathan (4)
Cal Quantrill,Jonathan (4)
Chandler Simpson,Jonathan (4)
Chase Dollander,Jonathan (4)
Christian Scott,Jonathan (4)
Clay Holmes,Jonathan (4)
Corey Seager,Jonathan (4)
Craig Yoho,Jonathan (4)
David Peterson,Jonathan (4)
Didier Fuentes,Jonathan (4)
Dominic Canzone,Jonathan (4)
Elmer Rodriguez,Jonathan (4)
Eric Hartman,Jonathan (4)
Gage Wood,Jonathan (4)
Gerrit Cole,Jonathan (4)
Grant Holmes,Jonathan (4)
Griffin Conine,Jonathan (4)
Hagen Smith,Jonathan (4)
Henry Lalane,Jonathan (4)
Hunter Gaddis,Jonathan (4)
Ivan Herrera,Jonathan (4)
Jackson Chourio,Jonathan (4)
Jacob Lopez,Jonathan (4)
Jacob deGrom,Jonathan (4)
Jakob Marsee,Jonathan (4)
Janson Junk,Jonathan (4)
Jeff McNeil,Jonathan (4)
Jonah Cox,Jonathan (4)
Kevin Gausman,Jonathan (4)
Kevin McGonigle,Jonathan (4)
Konnor Griffin,Jonathan (4)
Liam Doyle,Jonathan (4)
Liam Hicks,Jonathan (4)
Luis Castillo,Jonathan (4)
Luis Pena,Jonathan (4)
Matt Olson,Jonathan (4)
Payton Tolle,Jonathan (4)
Pete Alonso,Jonathan (4)
Pete Crow-Armstrong,Jonathan (4)
Randy Dobnak,Jonathan (4)
Randy Vasquez,Jonathan (4)
Ryan Gusto,Jonathan (4)
Ryan Weathers,Jonathan (4)
Ryan Zeferjahn,Jonathan (4)
Shohei Ohtani,Jonathan (4)
Sonny Gray,Jonathan (4)
Spencer Steer,Jonathan (4)
Steven Cruz,Jonathan (4)
Thomas White,Jonathan (4)
Tyron Guerrero,Jonathan (4)
Vaughn Grissom,Jonathan (4)
Zach Neto,Jonathan (4)
Alejandro Kirk,Kevin (5)
Brady Singer,Kevin (5)
Brandon Compton,Kevin (5)
Bryce Harper,Kevin (5)
Caden Bodine,Kevin (5)
Cam Booser,Kevin (5)
Cam Caminiti,Kevin (5)
Carter Jensen,Kevin (5)
Chris Sale,Kevin (5)
Clarke Schmidt,Kevin (5)
Cody Bellinger,Kevin (5)
Cody Ponce,Kevin (5)
Cooper Hjerpe,Kevin (5)
Curtis Mead,Kevin (5)
Daniel Lynch,Kevin (5)
Devin Williams,Kevin (5)
Dylan Beavers,Kevin (5)
Eliazar Dishmey,Kevin (5)
Eugenio Suarez,Kevin (5)
Felix Bautista,Kevin (5)
Foster Griffin,Kevin (5)
Francisco Renteria,Kevin (5)
George Springer,Kevin (5)
Jake Bauers,Kevin (5)
Jarren Duran,Kevin (5)
Jason Adam,Kevin (5)
Jhoan Duran,Kevin (5)
Jhonny Level,Kevin (5)
Joey Cantillo,Kevin (5)
Jordan Walker,Kevin (5)
Jose Altuve,Kevin (5)
Jose Caballero,Kevin (5)
Joshua Baez,Kevin (5)
Justin Crawford,Kevin (5)
Kazuma Okamoto,Kevin (5)
Kyle Harrison,Kevin (5)
Kyle Schwarber,Kevin (5)
Kyle Stowers,Kevin (5)
Landen Roupp,Kevin (5)
Manny Machado,Kevin (5)
Mason Montgomery,Kevin (5)
Max Fried,Kevin (5)
Max Muncy,Kevin (5)
Michael Busch,Kevin (5)
Mickey Moniak,Kevin (5)
Mike Trout,Kevin (5)
Nasim Nunez,Kevin (5)
Nate Lavender,Kevin (5)
Nathan Flewelling,Kevin (5)
Ralphy Velazquez,Kevin (5)
Ranger Suarez,Kevin (5)
Riley O'Brien,Kevin (5)
Robbie Ray,Kevin (5)
Robert Suarez,Kevin (5)
Ryan Waldschmidt,Kevin (5)
Samy Natera Jr.,Kevin (5)
Seaver King,Kevin (5)
Shane Baz,Kevin (5)
Spencer Strider,Kevin (5)
Taj Bradley,Kevin (5)
Teoscar Hernandez,Kevin (5)
Ty France,Kevin (5)
Walker Jenkins,Kevin (5)
William Contreras,Kevin (5)
Xavier Edwards,Kevin (5)
Yennier Cano,Kevin (5)
Zebby Matthews,Kevin (5)
Adrian Houser,Kyle (11)
Adrian Morejon,Kyle (11)
Andrew Alvarez,Kyle (11)
Anthony Kay,Kyle (11)
Anthony Volpe,Kyle (11)
Brandon Lowe,Kyle (11)
Braylon Payne,Kyle (11)
Brice Turang,Kyle (11)
Caden Scarborough,Kyle (11)
Caleb Bonemer,Kyle (11)
Carson Williams,Kyle (11)
Christian Moore,Kyle (11)
Colt Emerson,Kyle (11)
Cooper Pratt,Kyle (11)
Daniel Palencia,Kyle (11)
Dansby Swanson,Kyle (11)
Dylan Crews,Kyle (11)
Eduardo Quintero,Kyle (11)
Edward Cabrera,Kyle (11)
Edwin Arroyo,Kyle (11)
Emil Morales,Kyle (11)
Emmanuel Rodriguez,Kyle (11)
Ethan Salas,Kyle (11)
Evan Carter,Kyle (11)
Framber Valdez,Kyle (11)
Garrett Mitchell,Kyle (11)
Gleyber Torres,Kyle (11)
Grayson Rodriguez,Kyle (11)
Ian Seymour,Kyle (11)
J.T. Realmuto,Kyle (11)
JJ Wetherholt,Kyle (11)
Jackson Jobe,Kyle (11)
Jacob Misiorowski,Kyle (11)
Jarlin Susana,Kyle (11)
Jasson Dominguez,Kyle (11)
Jeff Hoffman,Kyle (11)
Jo Adell,Kyle (11)
Joe Mack,Kyle (11)
Jonathan Aranda,Kyle (11)
Jonathan Bowlan,Kyle (11)
Kaelen Culpepper,Kyle (11)
Kody Clemens,Kyle (11)
Logan Gilbert,Kyle (11)
Logan Henderson,Kyle (11)
Logan Webb,Kyle (11)
Luis Arraez,Kyle (11)
Luis Hernandez,Kyle (11)
Luke Weaver,Kyle (11)
Max Clark,Kyle (11)
Michael Arroyo,Kyle (11)
Munetaka Murakami,Kyle (11)
Noah Schultz,Kyle (11)
Noelvi Marte,Kyle (11)
Rafael Devers,Kyle (11)
Riley Greene,Kyle (11)
Sean Burke,Kyle (11)
Spencer Schwellenbach,Kyle (11)
Spencer Torkelson,Kyle (11)
Steven Kwan,Kyle (11)
Tatsuya Imai,Kyle (11)
Trevor Megill,Kyle (11)
Trevor Story,Kyle (11)
Walbert Urena,Kyle (11)
Yainer Diaz,Kyle (11)
Yandy Diaz,Kyle (11)
Yoshinobu Yamamoto,Kyle (11)
Zyhir Hope,Kyle (11)
Anthony Santander,Russell (10)
Arjun Nimmala,Russell (10)
Ben Hess,Russell (10)
Ben Joyce,Russell (10)
Bo Bichette,Russell (10)
Brady House,Russell (10)
Brandon Marsh,Russell (10)
Brandon Nimmo,Russell (10)
Brayan Rocchio,Russell (10)
Brooks Lee,Russell (10)
Bryan Reynolds,Russell (10)
Cade Povich,Russell (10)
Cal Raleigh,Russell (10)
Carlos Correa,Russell (10)
Carlos Lagrange,Russell (10)
Charlie Condon,Russell (10)
Christian Encarnacion-Strand,Russell (10)
Daniel Espino,Russell (10)
Demetrio Crisantes,Russell (10)
Drew Thorpe,Russell (10)
Eduard Bazardo,Russell (10)
Edwin Diaz,Russell (10)
Ezequiel Duran,Russell (10)
Francisco Alvarez,Russell (10)
Gage Jump,Russell (10)
George Soriano,Russell (10)
Hector Rodriguez,Russell (10)
Heliot Ramos,Russell (10)
Heriberto Hernandez,Russell (10)
J.R. Ritchie,Russell (10)
JJ Bleday,Russell (10)
Jackson Ferris,Russell (10)
Jaison Chourio,Russell (10)
Jake McCarthy,Russell (10)
Joe Musgrove,Russell (10)
Johnny King,Russell (10)
Jonah Tong,Russell (10)
Jonathan Santucci,Russell (10)
Jordan Lawlar,Russell (10)
Kash Mayfield,Russell (10)
Kayson Cunningham,Russell (10)
Kevin Alvarez,Russell (10)
Kevin Kelly,Russell (10)
Kristian Campbell,Russell (10)
Kruz Schoolcraft,Russell (10)
Kyle Karros,Russell (10)
Kyle Manzardo,Russell (10)
Kyle Teel,Russell (10)
Kyson Witherspoon,Russell (10)
Lawrence Butler,Russell (10)
Luis Gil,Russell (10)
Luis Severino,Russell (10)
Matt Chapman,Russell (10)
Matthew Liberatore,Russell (10)
Pablo Lopez,Russell (10)
Rhett Lowder,Russell (10)
Ricky Tiedemann,Russell (10)
Ryan Clifford,Russell (10)
Ryan Pepiot,Russell (10)
Sam Bachman,Russell (10)
Sean Manaea,Russell (10)
Tanner McDougal,Russell (10)
Tommy Troy,Russell (10)
Tyler Tolbert,Russell (10)
Vinnie Pasquantino,Russell (10)
Xavier Neyens,Russell (10)
Zac Gallen,Russell (10)
Alec Bohm,Stephen B (12)
Alec Burleson,Stephen B (12)
Alimber Santa,Stephen B (12)
Andrew Fischer,Stephen B (12)
Ben Brown,Stephen B (12)
Blade Tidwell,Stephen B (12)
Blaze Jordan,Stephen B (12)
Braden Montgomery,Stephen B (12)
Brandyn Garcia,Stephen B (12)
Brett Bateman,Stephen B (12)
Bryce Elder,Stephen B (12)
Cade Horton,Stephen B (12)
Caden Hunter,Stephen B (12)
Cam Cannarella,Stephen B (12)
Cam Smith,Stephen B (12)
Casey Mize,Stephen B (12)
Chase Petty,Stephen B (12)
Cole Young,Stephen B (12)
Cris Rodriguez,Stephen B (12)
Daylen Lile,Stephen B (12)
Drew Romo,Stephen B (12)
Eduardo Valencia,Stephen B (12)
Eli Willits,Stephen B (12)
Endy Rodriguez,Stephen B (12)
Esmerlyn Valdez,Stephen B (12)
Ethan Holliday,Stephen B (12)
Gavin Sheets,Stephen B (12)
Hao-Yu Lee,Stephen B (12)
Ike Irish,Stephen B (12)
J.T. Ginn,Stephen B (12)
Jacob Wilson,Stephen B (12)
James Triantos,Stephen B (12)
Jared Jones,Stephen B (12)
Javier Sanoja,Stephen B (12)
Jesus Baez,Stephen B (12)
Jesus Sanchez,Stephen B (12)
Jonathon Long,Stephen B (12)
Jose Soriano,Stephen B (12)
Joshua Kuroda-Grauer,Stephen B (12)
Juan Sanchez,Stephen B (12)
Jung Hoo Lee,Stephen B (12)
Justin Steele,Stephen B (12)
Keider Montero,Stephen B (12)
Kendry Chourio,Stephen B (12)
Kevin Alcantara,Stephen B (12)
Kyle Leahy,Stephen B (12)
Luinder Avila,Stephen B (12)
Luis Gastelum,Stephen B (12)
Masyn Winn,Stephen B (12)
Miguel Amaya,Stephen B (12)
Nick Gonzales,Stephen B (12)
Nico Hoerner,Stephen B (12)
Noah Cameron,Stephen B (12)
Osleivis Basabe,Stephen B (12)
Pedro Ramirez,Stephen B (12)
Peter Lambert,Stephen B (12)
Robert Gasser,Stephen B (12)
Roki Sasaki,Stephen B (12)
Ryne Nelson,Stephen B (12)
Sal Frelick,Stephen B (12)
Trey Yesavage,Stephen B (12)
Troy Melton,Stephen B (12)
Victor Bericoto,Stephen B (12)
Wade Meckler,Stephen B (12)
Xavier Isaac,Stephen B (12)
Yohendrick Pinango,Stephen B (12)
Zack Gelof,Stephen B (12)
A.J. Minter,Tommy (1)
Aaron Nola,Tommy (1)
Andrew Abbott,Tommy (1)
Andrew Vaughn,Tommy (1)
Austin Wells,Tommy (1)
Bobby Witt Jr.,Tommy (1)
Brayan Bello,Tommy (1)
Brendan Donovan,Tommy (1)
Bryan Hudson,Tommy (1)
Cade Cavalli,Tommy (1)
Chase Meidroth,Tommy (1)
Christian Walker,Tommy (1)
Connor Prielipp,Tommy (1)
Corbin Carroll,Tommy (1)
Daniel Duarte,Tommy (1)
Daulton Varsho,Tommy (1)
David Bednar,Tommy (1)
Dean Kremer,Tommy (1)
Drew Rasmussen,Tommy (1)
Dustin May,Tommy (1)
Dylan Dodd,Tommy (1)
Elvis Alvarado,Tommy (1)
George Kirby,Tommy (1)
Geraldo Perdomo,Tommy (1)
Griffin Jax,Tommy (1)
Henry Bolte,Tommy (1)
Hunter Greene,Tommy (1)
Isaac Paredes,Tommy (1)
Jac Caglianone,Tommy (1)
Jack Flaherty,Tommy (1)
James Wood,Tommy (1)
Jamie Arnold,Tommy (1)
Jazz Chisholm Jr.,Tommy (1)
Jesus Luzardo,Tommy (1)
Josh Adamczewski,Tommy (1)
Josh Jung,Tommy (1)
Julio Rodriguez,Tommy (1)
Junior Caminero,Tommy (1)
Justin Wrobleski,Tommy (1)
Keibert Ruiz,Tommy (1)
Kenley Jansen,Tommy (1)
Kris Bubic,Tommy (1)
Kyle Bradish,Tommy (1)
Lars Nootbaar,Tommy (1)
Matthew Boyd,Tommy (1)
Nick Martinez,Tommy (1)
Oneil Cruz,Tommy (1)
Otto Lopez,Tommy (1)
Paul Blackburn,Tommy (1)
Ramon Marquez,Tommy (1)
Robby Snelling,Tommy (1)
Royce Lewis,Tommy (1)
Ryan O'Hearn,Tommy (1)
Sal Stewart,Tommy (1)
Salvador Perez,Tommy (1)
Sandy Alcantara,Tommy (1)
Sean Newcomb,Tommy (1)
Seth Lugo,Tommy (1)
Shane Drohan,Tommy (1)
Shea Langeliers,Tommy (1)
Spencer Arrighetti,Tommy (1)
Steven Okert,Tommy (1)
Tanner Scott,Tommy (1)
Trevor Rogers,Tommy (1)
Tristan Peters,Tommy (1)
Tyler Wells,Tommy (1)
Will Warren,Tommy (1)
Aidan Miller,Tyler (6)
Aiva Arquette,Tyler (6)
Alfredo Duno,Tyler (6)
Andrew Kittredge,Tyler (6)
Angel Genao,Tyler (6)
Brandon Sproat,Tyler (6)
Brant Hurter,Tyler (6)
Brett Baty,Tyler (6)
Bryan Abreu,Tyler (6)
Bryce Rainer,Tyler (6)
Carmen Mlodzinski,Tyler (6)
Carson Benge,Tyler (6)
Carson Kelly,Tyler (6)
Chase DeLauter,Tyler (6)
Christian Yelich,Tyler (6)
Coby Mayo,Tyler (6)
Cody Bradford,Tyler (6)
DL Hall,Tyler (6)
Dalton Rushing,Tyler (6)
Dax Kilby,Tyler (6)
Drake Baldwin,Tyler (6)
Drew Anderson,Tyler (6)
Drew Gilbert,Tyler (6)
Drew Sommers,Tyler (6)
Dylan Lee,Tyler (6)
Ernie Clement,Tyler (6)
Felnin Celesten,Tyler (6)
Gabriel Moreno,Tyler (6)
Garrett Cleavinger,Tyler (6)
George Lombard Jr.,Tyler (6)
Giancarlo Stanton,Tyler (6)
Harry Ford,Tyler (6)
Hayden Alvarez,Tyler (6)
Jack Dreyer,Tyler (6)
Jaxon Wiggins,Tyler (6)
Jefferson Rojas,Tyler (6)
Jett Williams,Tyler (6)
Joc Pederson,Tyler (6)
Josh Hammond,Tyler (6)
Juneiker Caceres,Tyler (6)
Jurrangelo Cijntje,Tyler (6)
Kerry Carpenter,Tyler (6)
Leo De Vries,Tyler (6)
Luis Garcia Jr.,Tyler (6)
Marcelo Mayer,Tyler (6)
Matt Wilkinson,Tyler (6)
Murf Gray,Tyler (6)
Nathan Lukes,Tyler (6)
Nolan Arenado,Tyler (6)
Nolan Schanuel,Tyler (6)
Pete Fairbanks,Tyler (6)
Rainiel Rodriguez,Tyler (6)
Reid Detmers,Tyler (6)
Reynaldo Lopez,Tyler (6)
Roldy Brito,Tyler (6)
Seth Hernandez,Tyler (6)
Spencer Horwitz,Tyler (6)
Theo Gillen,Tyler (6)
Tommy Edman,Tyler (6)
Trent Grisham,Tyler (6)
Troy Johnston,Tyler (6)
Tyler Bremner,Tyler (6)
Tyler Holton,Tyler (6)
Tyler Rogers,Tyler (6)
Willi Castro,Tyler (6)
Xander Bogaerts,Tyler (6)
Zac Thornton,Tyler (6)
